raceId	circuitId	count	mean	std	min	25%	50%	75%	max
1	1	1005.0	97427.74527363184	16128.914510395776	87706.0	89832.0	91080.0	94441.0	185713.0
2	2	554.0	109763.1570397112	14390.635955856571	96641.0	99716.0	100995.0	120215.25	178640.0
3	17	1023.0	128685.07917888563	20246.941049637633	112592.0	116550.0	118722.0	128566.0	238709.0
4	3	1125.0	97834.82488888889	4945.393108248275	94556.0	96040.0	96664.0	97491.0	129178.0
5	4	942.0	89878.92675159236	14542.788933920587	82762.0	84155.75	84940.0	86024.0	146562.0
6	6	1277.0	78432.49882537196	3875.2853721644533	75154.0	76612.0	77254.0	78690.0	116114.0
7	5	1090.0	90473.84587155964	4455.114550341369	87579.0	88763.25	89393.0	90213.0	128919.0
8	9	1146.0	84317.45811518324	4865.586266931412	80735.0	82506.0	83076.0	84000.5	133970.0
9	20	1131.0	97746.69053934571	5137.027523625471	93365.0	95844.0	96766.0	97549.0	167473.0
10	11	1162.0	85345.85456110154	4974.451771214098	81931.0	83698.5	84244.5	84906.75	151967.0
11	12	1085.0	102151.67741935483	6003.779529084417	98683.0	100111.0	100862.0	101836.0	217180.0
12	13	663.0	115552.62745098039	17581.037951830847	107263.0	108503.5	109227.0	111080.5	187956.0
13	14	898.0	88049.08351893096	6248.013607437545	84739.0	85881.25	86615.0	87765.75	168376.0
14	15	1038.0	115520.51734104047	13064.838695226705	108240.0	109856.5	111134.0	113659.0	196823.0
15	22	952.0	100347.66911764706	15881.425867484571	92569.0	94300.75	94991.0	96053.75	180240.0
16	18	1070.0	79104.38504672897	11172.14233481035	73733.0	74868.25	75375.0	76037.0	125888.0
17	24	1025.0	103623.0887804878	5098.887816739672	100279.0	101595.0	102453.0	103386.0	132915.0
18	1	746.0	98557.18230563002	19278.23753714359	87418.0	89514.5	90703.0	93137.75	209104.0
19	2	1019.0	99586.00392541707	5986.463291350571	95366.0	97145.0	98091.0	99490.5	170790.0
20	3	1133.0	97601.39982347749	6146.584150770963	93193.0	95238.0	96057.0	97283.0	143838.0
21	4	1002.0	91046.7624750499	16284.03458958971	81670.0	83264.75	84218.0	86266.5	162313.0
22	5	1004.0	91201.18027888447	9365.519649834452	86506.0	88095.75	88809.0	89613.5	151878.0
23	6	1279.0	96772.89366692728	13697.25957917476	76689.0	88782.0	94382.0	101557.0	194914.0
24	7	1140.0	83696.95350877193	11791.395598497229	77387.0	79604.5	80333.5	81341.25	158997.0
25	8	1340.0	79683.93134328358	4057.791938817597	76630.0	78287.0	78813.0	79475.25	110413.0
26	9	917.0	100905.51908396947	8133.280507069511	92150.0	95937.0	98125.0	102569.0	150481.0
27	10	1263.0	82439.6207442597	12771.233010482274	75987.0	77655.5	78318.0	79532.0	151139.0
28	11	1332.0	84883.7102102102	5676.951807731297	81195.0	82838.0	83618.0	84773.5	161345.0
29	12	1049.0	102130.72640610105	3975.0442938238075	98708.0	100277.0	101109.0	102227.0	143067.0
30	13	814.0	114505.9312039312	8716.951688981006	107930.0	110024.5	111504.0	114283.0	181187.0
31	14	1013.0	99650.07403751234	14833.771673339385	88047.0	94868.0	96612.0	97771.0	322148.0
32	15	1066.0	115775.10131332083	17714.841061649164	105599.0	108345.75	109865.0	112149.0	232983.0
33	16	1053.0	81808.43399810066	5145.562996413489	78426.0	80019.0	80535.0	81563.0	129693.0
34	17	1013.0	99831.40967423495	5455.3562828572685	96325.0	97836.0	98590.0	99469.0	159612.0
35	18	1266.0	80924.80726698262	11703.800968178908	73736.0	75225.75	76288.5	80302.25	136456.0
36	1	1143.0	90397.86964129483	4636.033000542174	85235.0	88323.0	89270.0	90450.0	122011.0
37	2	1085.0	100573.28847926267	5196.9365520931215	96701.0	98514.0	99351.0	100352.0	136192.0
38	3	1034.0	100550.41586073501	16142.852276103878	94067.0	95641.25	96562.0	97799.75	405395.0
39	4	1044.0	86263.06896551725	6293.0155499888315	82680.0	84102.0	84722.5	85797.25	160680.0
40	6	1524.0	79119.62926509186	3478.3153926583755	75284.0	77590.0	78232.0	79685.0	104480.0
41	7	1192.0	89093.85738255034	17889.46415598319	76367.0	78834.25	80223.0	87751.25	155301.0
42	19	1288.0	76220.01708074534	3889.429125364151	73117.0	74551.0	75355.0	76457.5	109783.0
43	8	1265.0	79237.36205533597	4618.13933709781	76099.0	77617.0	78198.0	79045.0	139632.0
44	9	1080.0	85536.03333333334	17322.740749969085	80638.0	83061.75	84011.0	85014.0	632179.0
45	20	868.0	133666.7534562212	177120.63690995416	92853.0	95034.75	96685.0	109392.25	1453884.0
46	11	1371.0	83614.28884026258	4294.83429025428	80047.0	81780.5	82549.0	83630.5	111147.0
47	5	1212.0	91440.12458745875	7959.6270120064055	87295.0	89382.5	90183.5	91128.5	313638.0
48	14	1062.0	90796.26836158193	15166.191241921555	82871.0	84984.75	85744.0	86837.0	154787.0
49	13	850.0	112448.35058823529	4886.443502496629	108036.0	110051.0	111424.0	112823.25	157259.0
50	16	1307.0	111066.22188217292	31924.094618142215	88193.0	92597.0	96468.0	131867.5	976243.0
51	17	1066.0	107368.81519699813	8252.43845542949	97454.0	101283.5	106180.5	109958.25	191891.0
52	18	1172.0	76832.6023890785	9490.793303741317	72445.0	74292.75	75077.5	76269.0	262997.0
53	3	1100.0	97186.3390909091	20979.688506057697	92408.0	93935.5	94829.5	96580.0	755976.0
54	2	952.0	100348.58403361344	21131.64526052563	94803.0	96612.25	97828.0	100223.5	676839.0
55	1	914.0	101650.96170678338	21432.50966209598	86045.0	88868.0	91339.0	99805.75	230664.0
56	21	1146.0	90413.66928446772	23609.724636086754	84569.0	86472.25	87164.5	88186.0	809130.0
57	20	1023.0	97868.3294232649	9000.456261210602	92099.0	94478.0	95269.0	96758.0	153933.0
58	4	1257.0	80710.33651551313	8448.04212066294	76648.0	78437.0	79317.0	80711.0	329766.0
59	6	1558.0	81079.02310654685	8443.082653989537	75143.0	78200.5	79002.0	80237.25	136067.0
60	9	1075.0	87877.31441860466	12179.473590972248	81599.0	83418.5	84523.0	86485.0	153036.0
61	7	1174.0	82999.8807495741	12375.848811772636	75841.0	78094.25	79110.0	81101.75	250136.0
62	19	794.0	79691.13350125945	13387.619997323933	72719.0	73996.75	74572.0	75881.0	133839.0
63	8	1289.0	80710.2971295578	8944.051514191364	77111.0	78728.0	79476.0	80450.0	360120.0
64	10	1089.0	79954.0945821855	8068.627210943074	76357.0	78004.0	78700.0	79649.0	297225.0
65	11	1098.0	99241.84244080145	13051.877287471083	83516.0	91949.5	96739.0	101360.0	164124.0
66	5	1008.0	95027.45337301587	46248.40533801832	88005.0	90084.25	91152.0	92650.25	1528859.0
67	14	1026.0	86428.36257309941	5508.526482190847	82559.0	84259.5	85249.5	86264.75	157809.0
68	17	1125.0	107412.17422222222	7594.176580031198	97586.0	103062.0	106246.0	109073.0	170744.0
69	22	1068.0	97062.21722846442	4656.551196492	92676.0	94824.0	95857.0	97365.25	131517.0
70	18	1224.0	79271.36274509804	12931.222066630105	72162.0	74141.0	74808.0	76192.75	133061.0
71	1	1056.0	90332.47253787878	4846.383723700526	85683.0	87777.75	88934.0	90555.0	120297.0
72	2	871.0	100239.81859931114	5586.030961898247	95483.0	97533.5	98414.0	100787.5	159036.0
